Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
The End of the World,Skeeter Davis,1963,2,Pop,Country,N/A,N/A,N/A,https://open.spotify.com/track/5DTOOkooKFUvWj1XQTFa09?si=e250c7655755407e,12/8,,Bb,Cb,,,,,Major,Major,,,,,94,,
Rhythm of the Rain,The Cascades,1963,3,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7GHf8dQ2wA71wYOuRsQCZP?si=9919ec20d030417d,4/4,,E,,,,,,Major,,,,,,117,,
He's So Fine,The Chiffons,1963,4,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/2Bs1Lw9LX8hBm70t1iGdlh?si=e56fd7f314134648,4/4,,G,,,,,,Major,,,,,,144,,
Blue Velvet,Bobby Vinton,1963,5,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/4QelFzhVgLomeQhvKrwM1S?si=a9b7046df3b94138,12/8,,Bb,B,,,,,Major,Major,,,,,80,,
I Want to Hold Your Hand,The Beatles,1964,1,Rock ,Pop,Pop rock,N/A,N/A,https://open.spotify.com/track/4pbG9SUmWIvsROVLF0zF9s?si=0346a360c7444c3e,4/4,,G,,,,,,Major,,,,,,131,,
She Loves You,The Beatles,1964,2,Rock,Pop,Pop rock,N/A,N/A,https://open.spotify.com/track/6nEkxYIEnrbYH7h1hJ8Xn6?si=fc100942a1cf4244,4/4,,G,,,,,,Major,,,,,,76,,
"Hello, Dolly!",Louis Armstrong,1964,3,Jazz,N/A,N/A,N/A,N/A,https://open.spotify.com/track/63kd4m3VFxcJjPVVtbVNAu?si=b78b8791c8dd4941,4/4,,C,,,,,,Major,,,,,,156,,
"Oh, Pretty Woman",Roy Orbison,1964,4,Rock,Pop,Pop rock,N/A,N/A,https://open.spotify.com/track/48i055G1OT5KxGGftwFxWy?si=8788f3ef49654b8e,4/4,,A,C,,,,,Major,Major,,,,,127,,
I Get Around,The Beach Boys,1964,5,Rock,N/A,Surf music,N/A,N/A,https://open.spotify.com/track/3v9xlH6BpmRbqL7hgNJhfT?si=48eb5e394f514392,4/4,,G,Ab,,,,,Major,Major,,,,,144,,
Wooly Bully,Sam the Sham and the Pharaohs,1965,1,Rock,N/A,Garage rock,N/A,N/A,https://open.spotify.com/track/0SRkuudTEWe2HOloI1Nssq?si=64b74b10426045bb,4/4,,C,,,,,,Major,,,,,,141,,
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965,2,Funk/Soul,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3?si=8914da1080674f98,4/4,,C,,,,,,Major,,,,,,128,,
(I Can't Get No) Satisfaction,The Rolling Stones,1965,3,Rock,N/A,N/A,N/A,N/A,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34?si=bf37e926fb9e4c45,4/4,,E,,,,,,Major,,,,,,136,,
You Were On My Mind,We Five,1965,4,Rock,Rock,Folk rock,N/A,N/A,https://open.spotify.com/track/36ckFm0oicmvX8bWEErIHd?si=d9138e7451f24d35,4/4,,E,C#,,,,,Major,Major,,,,,143,,
You've Lost That Lovin' Feelin',The Righteous Brothers,1965,5,Funk/Soul,Pop,N/A,N/A,N/A,https://open.spotify.com/track/6AeyHqzNHJthYJbn0tvJ4b?si=6377a81e3cdd4acf,4/4,,Db,,,,,,Major,,,,,,95,,
California Dreamin',The Mamas & The Papas,1966,1,Rock,Pop,Sunshine pop,Pyschedelic pop,Pop rock,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ?si=1ff8e994c6154847,4/4,,C#,,,,,,Minor,,,,,,112,,
96 Tears,? and the Mysterians,1966,2,Rock,Pop,Garage rock,Pop rock,N/A,https://open.spotify.com/track/4PEeZ2U4UfP2Jo8EtIOjus?si=60b921acbd564404,4/4,,G,,,,,,Major,,,,,,124,,
What Becomes Of The Brokenhearted,Jimmy Ruffin,1966,3,Funk/Soul,N/A,N/A,N/A,N/A,https://open.spotify.com/track/0wBaPbJ2qsbGqgnGbqBDgP?si=ce3ed5c775514782,4/4,,Bb,C,,,,,Major,Major,,,,,97,,
Last Train to Clarksville,The Monkees,1966,4,Rock,Pop,Jangle pop,N/A,N/A,https://open.spotify.com/track/3h4t9qpFktohHeUQc3hZCa?si=02db982d0b2a4e39,4/4,,C,,,,,,Major,,,,,,99,,
Reach Out I'll Be There,Four Tops,1966,5,Funk/Soul,N/A,N/A,N/A,N/A,https://open.spotify.com/track/2VwRmAIjgmwNPDh4eMK1EH?si=77dac3944da74dda,4/4,,Gb,Eb,,,,,Major,Minor,,,,,120,,
To Sir With Love,Lulu,1967,1,Pop,N/A,N/A,N/A,N/A,https://open.spotify.com/track/0gBFr7N2D1GfhkXIIepIGG?si=ff0ff572863443d5,4/4,,E,,,,,,Major,,,,,,97,,
The Letter,The Box Tops,1967,2,Rock,N/A,Pop rock,N/A,N/A,https://open.spotify.com/track/1wCn7slsVCtdVYRnXahIv5?si=d39e4dfc86f14fa3,4/4,,A,,,,,,Minor,,,,,,139,,
Ode to Billie Joe,Bobbie Gentry,1967,3,Country,Funk/Soul,Gothic country,N/A,N/A,https://open.spotify.com/track/4FdDorlbJTVHcH3djLbIfn?si=b0686889c80d4082,4/4,,D,,,,,,Major,,,,,,120,,
Windy,The Association,1967,4,Rock,Pop,Sunshine pop,Pyschedelic pop,Pop rock,https://open.spotify.com/track/6RUpOheT93fUdI508K5w6U?si=20c5a28625c9408d,4/4,,F,,,,,,Major,,,,,,133,,
I'm a Believer,The Monkees,1967,5,Rock,Pop,Pop rock,N/A,N/A,https://open.spotify.com/track/3G7tRC24Uh09Hmp1KZ7LQ2?si=13036b88388d47cb,4/4,,C,,,,,,Major,,,,,,160,,
Hey Jude,The Beatles,1968,1,Rock ,Pop,Pop rock,N/A,N/A,https://open.spotify.com/track/0aym2LBJBk9DAYuHHutrIl?si=ab4f6241aee5491f,4/4,,Bb,,,,,,Major,,,,,,74,,
Love is Blue,Paul Mauriat,1968,2,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/0tS7Mli5NtOcpeCqC25GWd?si=9351fe32958f4dbc,4/4,,A,A,,,,,Minor,Major,,,,,104,,
Honey,Bobby Goldsboro,1968,3,Country,N/A,N/A,N/A,N/A,https://open.spotify.com/track/2Qhvi6R73Zj3cpzRYzcAww?si=2e3463d2c16d4429,4/4,,C,D,,,,,Major,Major,,,,,93,,
(Sittin' On) The Dock of the Bay,Otis Redding,1968,4,Folk,Funk/Soul,N/A,N/A,N/A,https://open.spotify.com/track/3zBhihYUHBmGd2bcQIobrF?si=8e60796c8a9c426e,4/4,,G,,,,,,Major,,,,,,104,,
People Got to Be Free,The Rascals,1968,5,Funk/Soul,N/A,N/A,N/A,N/A,https://open.spotify.com/track/49oQUbmhXqjGb850ERxtfb?si=94d09e8ecaef4065,4/4,,F,,,,,,Major,,,,,,126,,
"Sugar, Sugar",The Archies,1969,1,Pop,N/A,Bubblegum pop,N/A,N/A,https://open.spotify.com/track/6MTd61g9zq6CB1FnJydjEb?si=2513d9f713654257,4/4,,D,,,,,,Major,,,,,,122,,
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,1969,2,Funk/Soul,N/A,Pyschedelic soul,N/A,N/A,https://open.spotify.com/track/0HZlND4giwzgolBpaNIRGV?si=2b5438e6517e4a3f,4/4,,Bb,Ab,B,D,,,Major,Major,Major,Major,,,90,184,117
I Can't Get Next to You,The Temptations,1969,3,Funk/Soul,N/A,N/A,N/A,N/A,https://open.spotify.com/track/6aL6pPBaTMGgM558mplSnj?si=5f03359344604c59,4/4,,C,,,,,,Minor,,,,,,109,,
Honky Tonk Women,The Rolling Stones,1969,4,Rock,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3RZMzCvYsmJ0u2ioKTOsmJ?si=aa7816f2cf1a4999,4/4,,G,,,,,,Major,,,,,,120,,
Everyday People,Sly and the Family Stone,1969,5,Funk/Soul,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7lL2lMWNtzOcf5HnEudNgn?si=1132db0a9a0e4d32,4/4,,G,,,,,,Major,,,,,,115,,
Bridge Over Troubled Water,Simon and Garfunkel,1970,1,Folk,Rock,Folk rock,N/A,N/A,https://open.spotify.com/track/6l8EbYRtQMgKOyc1gcDHF9?si=0bc16606dab64d8e,4/4,,Eb,,,,,,Major,,,,,,80,,
(They Long To Be) Close To You,The Carpenters,1970,2,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/4IeStM4M9uQ1X0s4LdSLuC?si=432b5a6f8d6a4af9,12/8,,G,Ab,,,,,Major,Major,,,,,89,,
American Woman,The Guess Who,1970,3,Rock ,N/A,Hard rock,Blues rock,N/A,https://open.spotify.com/track/3LQPTJEqOfljGBxmpgUnoC?si=1120f1ec8c424a0f,4/4,,D,,,,,,Major,,,,,,107,92,
Raindrops Keep Fallin' on My Head,B.J. Thomas,1970,4,Pop,Rock,Soft rock,N/A,N/A,https://open.spotify.com/track/5NSNSFqQAAnLxGiY2u8C7A?si=a8fa3f4b48ed47a0,12/8,,F,,,,,,Major,,,,,,106,,
War,Edwin Starr,1970,5,Funk/Soul,N/A,Psychedelic soul,N/A,N/A,https://open.spotify.com/track/4ZEEcEMGjkWOfZNBcIB9yE?si=3d4ee2bc297f40a0,4/4,,Db,,,,,,Major,,,,,,109,,
Joy To The World,Three Dog Night,1971,1,Rock,Funk/Soul,Blue-eyed soul,N/A,N/A,https://open.spotify.com/track/2ymeOsYijJz09LfKw3yM2x?si=d5597f0763064f2e,4/4,,D,,,,,,Major,,,,,,127,,
Maggie May,Rod Stewart,1971,2a,Rock,Folk,Folk rock,N/A,N/A,https://open.spotify.com/track/6rovOdp3HgK1DeAMYDzoA7?si=9521754d703c4bd4,4/4,,D,,,,,,Major,,,,,,129,,
Reason to Believe,Rod Stewart,1971,2b,Rock,Folk,Folk rock,N/A,N/A,https://open.spotify.com/track/667fAkQXp8cSrPTE4mMfcy?si=c4c583032de24b77,4/4,,G,,,,,,Major,,,,,,138,,
